quantity;price;n_day_orders;n_day_sells;prod;date;weekday;year;day
2;1,2;132;302;bibite;2023-09-27;mer;2023;27
53;4,5;94;265;salamella;2023-09-28;gio;2023;28
8;4,5;94;265;cotto_e_fontina;2023-09-28;gio;2023;28
14;3,5;94;265;speck_e_tomino;2023-09-28;gio;2023;28
3;3,5;94;265;speck_e_brie;2023-09-28;gio;2023;28
1;3,5;94;265;pancetta_e_scamorza;2023-09-28;gio;2023;28
17;3,5;94;265;hamburger_suino;2023-09-28;gio;2023;28
14;3,5;94;265;hot_dog;2023-09-28;gio;2023;28
3;3,5;94;265;vegetariano;2023-09-28;gio;2023;28
43;3,5;94;265;birra;2023-09-28;gio;2023;28
2;1,2;94;265;bibite;2023-09-28;gio;2023;28
50;4,5;98;263;salamella;2023-09-29;ven;2023;29
9;4,5;98;263;cotto_e_fontina;2023-09-29;ven;2023;29
4;3,5;98;263;speck_e_tomino;2023-09-29;ven;2023;29
1;3,5;98;263;speck_e_brie;2023-09-29;ven;2023;29
7;3,5;98;263;pancetta_e_scamorza;2023-09-29;ven;2023;29
19;3,5;98;263;hamburger_suino;2023-09-29;ven;2023;29
7;3,5;98;263;hot_dog;2023-09-29;ven;2023;29
4;3,5;98;263;vegetariano;2023-09-29;ven;2023;29
45;3,5;98;263;birra;2023-09-29;ven;2023;29
4;1,2;98;263;bibite;2023-09-29;ven;2023;29
30;2,5;54;92;patatine;2023-09-25;lun;2023;25
9;2,5;54;92;panzerotti;2023-09-25;lun;2023;25
2;2,5;54;92;anelli_cipolla;2023-09-25;lun;2023;25
11;2,5;54;92;piadine nutella;2023-09-25;lun;2023;25
2;2,5;54;92;nuggets;2023-09-25;lun;2023;25
0;2,5;54;92;verdure_grigliate;2023-09-25;lun;2023;25
15;2,5;22;49;patatine;2023-09-26;mar;2023;26
2;2,5;22;49;panzerotti;2023-09-26;mar;2023;26
1;2,5;22;49;anelli_cipolla;2023-09-26;mar;2023;26
3;2,5;22;49;piadine nutella;2023-09-26;mar;2023;26
0;2,5;22;49;nuggets;2023-09-26;mar;2023;26
0;2,5;22;49;verdure_grigliate;2023-09-26;mar;2023;26
100;2,5;132;302;patatine;2023-09-27;mer;2023;27
0;2,5;132;302;panzerotti;2023-09-27;mer;2023;27
11;2,5;132;302;anelli_cipolla;2023-09-27;mer;2023;27
15;2,5;132;302;piadine nutella;2023-09-27;mer;2023;27
16;2,5;132;302;nuggets;2023-09-27;mer;2023;27
2;2,5;132;302;verdure_grigliate;2023-09-27;mer;2023;27
67;2,5;94;265;patatine;2023-09-28;gio;2023;28
11;2,5;94;265;panzerotti;2023-09-28;gio;2023;28
8;2,5;94;265;anelli_cipolla;2023-09-28;gio;2023;28
9;2,5;94;265;piadine nutella;2023-09-28;gio;2023;28
12;2,5;94;265;nuggets;2023-09-28;gio;2023;28
0;2,5;94;265;verdure_grigliate;2023-09-28;gio;2023;28
67;2,5;98;263;patatine;2023-09-29;ven;2023;29
17;2,5;98;263;panzerotti;2023-09-29;ven;2023;29
13;2,5;98;263;anelli_cipolla;2023-09-29;ven;2023;29
9;2,5;98;263;piadine nutella;2023-09-29;ven;2023;29
4;2,5;98;263;nuggets;2023-09-29;ven;2023;29
3;2,5;98;263;verdure_grigliate;2023-09-29;ven;2023;29
